year,state name,region_1,age,sex_1,race,race_1,martial status,union type,educ99,occ,ind,wkswork1,uhrswork,incwage
1990,Ohio,Midwest,33,male,1,White,"Married, spouse present",No union coverage,,259,530,52,70,35100.0
1990,Nevada,West,25,male,3,Hispanic,"Married, spouse present",NIU,,426,662,52,40,13600.0
1990,Iowa,Midwest,44,male,1,White,"Married, spouse present",NIU,,436,641,52,50,20000.0
1990,New York,Northeast,31,male,3,Hispanic,"Married, spouse present",Member of labor union,,529,441,38,40,28000.0
1990,New Jersey,Northeast,46,male,1,White,Divorced,NIU,,276,592,52,40,17000.0
1990,Florida,South,43,male,3,Hispanic,"Married, spouse present",NIU,,575,60,52,40,20000.0
1990,New Jersey,Northeast,28,male,2,Black,Never mar,NIU,,243,630,52,44,26000.0
1990,Oklahoma,South,31,male,1,White,"Married, spouse present",No union coverage,,804,410,52,60,38000.0
1990,Texas,South,27,male,3,Hispanic,"Married, spouse present",NIU,,436,762,52,40,10000.0
1990,Ohio,Midwest,31,male,4,Other,"Married, spouse present",Member of labor union,,653,270,52,40,21320.0
1990,New York,Northeast,46,male,1,White,"Married, spouse present",NIU,,575,391,52,40,70000.0
1990,Nebraska,Midwest,61,male,1,White,Divorced,NIU,,55,460,52,40,48655.0
1990,New York,Northeast,28,male,1,White,Divorced,NIU,,557,60,52,40,31700.0
1990,Massachusetts,Northeast,30,male,1,White,"Married, spouse present",NIU,,217,882,52,40,35000.0
1990,Pennsylvania,Northeast,48,male,2,Black,Never mar,Member of labor union,,547,401,52,40,19000.0
1990,New York,Northeast,36,male,1,White,"Married, spouse present",Member of labor union,,157,842,52,50,21500.0
1990,North Carolina,South,51,male,1,White,Divorced,NIU,,9,102,52,60,45000.0
1990,Illinois,Midwest,44,male,1,White,"Married, spouse present",No union coverage,,785,242,52,40,21802.0
1990,Illinois,Midwest,51,male,1,White,"Married, spouse present",Member of labor union,,259,560,52,40,48000.0
1990,Michigan,Midwest,27,male,4,Other,Never mar,NIU,,57,331,52,48,40400.0
1990,Michigan,Midwest,25,male,4,Other,Never mar,NIU,,777,212,24,50,6060.0
1990,Ohio,Midwest,50,male,1,White,"Married, spouse present",NIU,,503,152,52,40,50000.0
1990,Massachusetts,Northeast,37,male,1,White,Never mar,NIU,,243,542,52,50,30000.0
1990,Colorado,West,33,male,1,White,"Married, spouse present",NIU,,19,362,52,45,50000.0
1990,Michigan,Midwest,33,male,1,White,"Married, spouse present",NIU,,859,351,40,48,36000.0
1990,Michigan,Midwest,32,male,1,White,"Married, spouse present",NIU,,777,162,52,40,45000.0
1990,Vermont,Northeast,61,male,1,White,"Married, spouse present",NIU,,453,842,52,40,20555.0
1990,Montana,West,43,male,1,White,"Married, spouse present",NIU,,217,712,50,40,12200.0
1990,Colorado,West,53,male,1,White,"Married, spouse present",NIU,,19,362,52,40,68000.0
1990,New York,Northeast,40,male,2,Black,"Married, spouse present",No union coverage,,804,891,52,40,20000.0
1990,Maine,Northeast,45,male,1,White,"Married, spouse present",NIU,,453,850,52,40,16207.0
1990,Hawaii,West,55,male,4,Other,Never mar,NIU,,307,702,52,40,14400.0
1990,Pennsylvania,Northeast,31,male,1,White,Never mar,NIU,,518,161,52,62,35100.0
1990,Michigan,Midwest,61,male,2,Black,"Married, spouse present",Member of labor union,,453,722,52,40,18500.0
1990,Massachusetts,Northeast,38,male,1,White,"Married, spouse present",NIU,,259,331,52,40,83000.0
1990,Florida,South,59,male,3,Hispanic,"Married, spouse present",NIU,,777,242,52,40,22000.0
1990,California,West,59,male,1,White,"Married, spouse present",NIU,,453,842,52,40,26000.0
1990,Texas,South,40,male,1,White,"Married, spouse present",NIU,,23,731,52,40,31500.0
1990,New Mexico,West,45,male,3,Hispanic,"Married, spouse present",NIU,,259,550,52,40,26000.0
1990,South Carolina,South,31,male,1,White,"Married, spouse present",No union coverage,,803,410,52,50,52000.0
1990,California,West,42,male,1,White,"Married, spouse present",No union coverage,,365,622,52,40,14190.0
1990,New York,Northeast,59,male,1,White,"Married, spouse present",No union coverage,,259,530,50,40,20000.0
1990,Kentucky,South,35,male,1,White,"Married, spouse present",NIU,,856,50,52,55,22500.0
1990,New York,Northeast,56,male,1,White,"Married, spouse present",No union coverage,,303,841,52,35,18460.0
1990,Florida,South,26,male,3,Hispanic,Divorced,NIU,,308,442,52,40,4500.0
1990,South Carolina,South,39,male,1,White,"Married, spouse present",NIU,,19,251,52,40,18577.0
1990,Florida,South,56,male,1,White,"Married, spouse present",NIU,,436,641,52,60,11200.0
1990,North Dakota,Midwest,55,male,1,White,"Married, spouse present",NIU,,338,400,52,40,27000.0
1990,Kentucky,South,37,male,1,White,"Married, spouse present",NIU,,259,541,52,40,40000.0
1990,Delaware,South,34,male,1,White,"Married, spouse present",NIU,,785,351,52,40,30000.0
1990,Illinois,Midwest,35,male,1,White,"Married, spouse present",No union coverage,,194,850,52,39,25349.0
1990,New Jersey,Northeast,41,male,1,White,Divorced,NIU,,754,372,52,40,30000.0
1990,Ohio,Midwest,39,male,1,White,"Married, spouse present",NIU,,256,171,52,40,25000.0
1990,New York,Northeast,52,male,1,White,"Married, spouse present",Member of labor union,,453,601,52,64,16016.0
1990,New Jersey,Northeast,48,male,1,White,Divorced,NIU,,276,601,52,20,6000.0
1990,Michigan,Midwest,26,male,1,White,Never mar,NIU,,23,351,52,40,48000.0
1990,Michigan,Midwest,41,male,1,White,Divorced,NIU,,486,842,52,40,24000.0
1990,New York,Northeast,41,male,1,White,"Married, spouse present",NIU,,176,880,52,60,34583.0
1990,Idaho,West,34,male,1,White,"Married, spouse present",No union coverage,,16,882,52,40,28000.0
1990,Texas,South,37,male,3,Hispanic,"Married, spouse present",NIU,,889,121,52,40,37000.0
1990,Texas,South,47,male,1,White,"Married, spouse present",No union coverage,,507,751,52,40,32000.0
1990,California,West,40,male,1,White,"Married, spouse present",NIU,,167,842,52,40,41000.0
1990,Ohio,Midwest,50,male,1,White,"Married, spouse present",Member of labor union,,637,342,52,40,33000.0
1990,Massachusetts,Northeast,34,male,1,White,"Married, spouse present",No union coverage,,19,331,52,40,35000.0
1990,Montana,West,28,male,1,White,Separated,NIU,,453,842,52,40,12480.0
1990,New Jersey,Northeast,50,male,1,White,"Married, spouse present",NIU,,573,60,40,40,40000.0
1990,Idaho,West,56,male,1,White,"Married, spouse present",NIU,,856,231,52,40,24250.0
1990,Pennsylvania,Northeast,29,male,3,Hispanic,"Married, spouse present",NIU,,159,100,52,40,21000.0
1990,Alabama,South,33,male,1,White,"Married, spouse present",NIU,,796,280,52,46,30000.0
1990,Washington,West,34,male,1,White,"Married, spouse present",NIU,,529,441,52,40,29300.0
1990,North Carolina,South,33,male,1,White,"Married, spouse present",NIU,,844,60,52,40,13000.0
1990,Wisconsin,Midwest,44,male,1,White,"Married, spouse present",NIU,,686,100,52,42,27575.0
1990,California,West,36,male,1,White,"Married, spouse present",No union coverage,,518,360,52,55,43840.0
1990,North Carolina,South,35,male,1,White,"Married, spouse present",NIU,,418,910,52,40,21868.0
1990,Pennsylvania,Northeast,35,male,1,White,"Married, spouse present",Member of labor union,,436,831,52,50,22000.0
1990,Michigan,Midwest,27,male,1,White,Never mar,NIU,,755,212,38,40,6000.0
1990,Alaska,West,26,male,2,Black,Never mar,NIU,,438,641,2,40,720.0
1990,New York,Northeast,30,male,1,White,Never mar,NIU,,796,371,52,40,36000.0
1990,Oregon,West,40,male,1,White,"Married, spouse present",NIU,,575,60,52,40,30000.0
1990,Colorado,West,34,male,3,Hispanic,"Married, spouse present",NIU,,796,380,52,40,27000.0
1990,Pennsylvania,Northeast,50,male,1,White,"Married, spouse present",NIU,,25,831,49,50,60000.0
1990,Michigan,Midwest,26,male,1,White,Never mar,NIU,,465,421,46,50,22000.0
1990,Florida,South,28,male,1,White,Never mar,NIU,,9,501,52,45,20000.0
1990,Ohio,Midwest,40,male,1,White,"Married, spouse present",NIU,,503,320,52,50,55000.0
1990,Vermont,Northeast,39,male,1,White,"Married, spouse present",NIU,,558,60,52,60,30000.0
1990,Rhode Island,Northeast,35,male,2,Black,"Married, spouse present",No union coverage,,683,882,47,40,23559.0
1990,Texas,South,29,male,1,White,"Married, spouse present",NIU,,889,760,52,50,25000.0
1990,Minnesota,Midwest,32,male,1,White,"Married, spouse present",NIU,,453,842,52,40,23000.0
1990,Florida,South,60,male,1,White,"Married, spouse present",NIU,,19,151,52,40,50000.0
1990,Ohio,Midwest,62,male,1,White,"Married, spouse present",NIU,,503,342,52,45,26000.0
1990,Massachusetts,Northeast,26,male,1,White,"Married, spouse present",No union coverage,,259,322,52,50,60000.0
1990,Florida,South,35,male,1,White,Never mar,NIU,,57,322,52,60,27000.0
1990,Pennsylvania,Northeast,45,male,1,White,"Married, spouse present",NIU,,19,250,52,40,71792.0
1990,North Carolina,South,52,male,1,White,"Married, spouse present",NIU,,259,541,52,40,22405.0
1990,Idaho,West,47,male,1,White,"Married, spouse present",NIU,,213,342,52,40,22000.0
1990,Vermont,Northeast,25,male,1,White,Never mar,NIU,,78,840,52,50,17000.0
1990,Nevada,West,42,male,1,White,Separated,NIU,,243,601,52,65,14400.0
1990,Florida,South,30,male,1,White,Divorced,NIU,,547,331,52,60,65000.0
1990,Nebraska,Midwest,37,male,1,White,"Married, spouse present",NIU,,637,311,52,40,33700.0
1990,New Jersey,Northeast,31,male,1,White,"Married, spouse present",NIU,,57,212,52,40,41000.0
1990,Alabama,South,59,male,1,White,"Married, spouse present",NIU,,19,42,52,40,40000.0
1990,Massachusetts,Northeast,38,male,1,White,"Married, spouse present",NIU,,804,501,52,50,28250.0
1990,California,West,36,male,3,Hispanic,"Married, spouse present",NIU,,633,521,52,40,44000.0
1990,Colorado,West,51,male,2,Black,"Married, spouse present",NIU,,777,362,52,40,30000.0
1990,Michigan,Midwest,45,male,1,White,"Married, spouse present",Member of labor union,,575,351,49,46,45000.0
1990,Texas,South,32,male,2,Black,Never mar,NIU,,883,410,52,16,5000.0
1990,Pennsylvania,Northeast,33,male,1,White,"Married, spouse present",NIU,,243,601,52,50,26500.0
1990,South Dakota,Midwest,42,male,1,White,"Married, spouse present",Member of labor union,,577,460,52,40,20000.0
1990,Missouri,Midwest,47,male,1,White,"Married, spouse present",NIU,,796,351,50,60,29000.0
1990,Florida,South,34,male,1,White,"Married, spouse present",NIU,,633,282,52,48,24000.0
1990,New Jersey,Northeast,46,male,3,Hispanic,"Married, spouse present",NIU,,856,161,52,40,10000.0
1990,Montana,West,45,male,1,White,"Married, spouse present",Member of labor union,,766,272,52,40,39000.0
1990,Colorado,West,34,male,3,Hispanic,"Married, spouse absent",NIU,,479,11,30,56,5250.0
1990,California,West,29,male,1,White,"Married, spouse present",NIU,,355,412,52,40,22500.0
1990,Wyoming,West,29,male,1,White,Never mar,NIU,,806,670,52,35,10500.0
1990,New Mexico,West,55,male,1,White,"Married, spouse present",NIU,,78,730,52,60,99999.0
1990,Mississippi,South,30,male,1,White,Never mar,NIU,,227,931,52,40,28000.0
1990,Indiana,Midwest,32,male,1,White,"Married, spouse present",No union coverage,,505,612,52,40,38372.0
1990,Kentucky,South,44,male,1,White,"Married, spouse present",NIU,,48,192,52,40,60000.0
1990,Kentucky,South,54,male,1,White,"Married, spouse present",NIU,,243,601,52,50,10400.0
1990,Rhode Island,Northeast,41,male,1,White,"Married, spouse present",NIU,,258,331,52,40,48000.0
1990,Oklahoma,South,30,male,1,White,Never mar,NIU,,599,60,52,40,16000.0
1990,Illinois,Midwest,30,male,1,White,Never mar,NIU,,424,910,52,40,28000.0
1990,Idaho,West,42,male,1,White,"Married, spouse present",NIU,,19,102,52,50,40000.0
1990,Mississippi,South,29,male,1,White,Never mar,NIU,,505,751,52,40,12000.0
1990,Wisconsin,Midwest,33,male,3,Hispanic,"Married, spouse present",NIU,,218,60,52,40,22000.0
1990,Ohio,Midwest,55,male,1,White,"Married, spouse present",NIU,,637,850,52,40,22000.0
1990,Pennsylvania,Northeast,45,male,1,White,"Married, spouse present",NIU,,633,142,52,40,30000.0
1990,New York,Northeast,51,male,3,Hispanic,"Married, spouse present",NIU,,809,402,52,40,10000.0
1990,Michigan,Midwest,59,male,1,White,"Married, spouse present",NIU,,796,331,8,30,3000.0
1990,Washington,West,36,male,1,White,"Married, spouse present",No union coverage,,633,360,52,60,45000.0
1990,Ohio,Midwest,29,male,1,White,"Married, spouse present",NIU,,575,60,52,40,40000.0
1990,Texas,South,53,male,1,White,"Married, spouse present",NIU,,27,932,52,40,31000.0
1990,Vermont,Northeast,39,male,1,White,Divorced,No union coverage,,14,842,52,48,46000.0
1990,North Carolina,South,45,male,1,White,"Married, spouse present",NIU,,518,252,52,40,26500.0
1990,Arkansas,South,32,male,1,White,Divorced,NIU,,496,230,52,40,10250.0
1990,Ohio,Midwest,39,male,1,White,"Married, spouse present",No union coverage,,19,621,52,40,28000.0
1990,Texas,South,36,male,1,White,"Married, spouse present",NIU,,19,710,52,40,45000.0
1990,California,West,48,male,1,White,Divorced,NIU,,257,172,52,40,32000.0
1990,Florida,South,50,male,1,White,Divorced,NIU,,5,901,52,40,27600.0
1990,Wyoming,West,51,male,1,White,"Married, spouse present",No union coverage,,696,461,52,45,33000.0
1990,Arizona,West,25,male,1,White,Never mar,No union coverage,,805,580,52,40,10400.0
1990,Missouri,Midwest,31,male,1,White,"Married, spouse present",NIU,,856,342,52,53,20566.0
1990,Louisiana,South,43,male,1,White,"Married, spouse present",No union coverage,,699,42,52,40,27000.0
1990,Washington,West,37,male,1,White,"Married, spouse present",NIU,,889,601,52,40,34000.0
1990,New Jersey,Northeast,45,male,1,White,"Married, spouse present",NIU,,255,700,43,50,135328.0
1990,California,West,39,male,3,Hispanic,Widowed,NIU,,443,641,52,40,14000.0
1990,New Jersey,Northeast,43,male,3,Hispanic,"Married, spouse present",NIU,,756,192,52,40,29000.0
1990,California,West,56,male,1,White,"Married, spouse present",No union coverage,,19,881,50,50,33000.0
1990,New York,Northeast,61,male,1,White,"Married, spouse present",NIU,,19,460,52,43,64653.0
1990,West Virginia,South,43,male,1,White,"Married, spouse present",NIU,,259,312,52,50,21000.0
1990,Mississippi,South,40,male,1,White,Never mar,No union coverage,,805,641,52,35,8800.0
1990,Illinois,Midwest,49,male,1,White,"Married, spouse present",NIU,,518,322,43,40,12000.0
1990,New Jersey,Northeast,25,male,1,White,Never mar,NIU,,15,831,52,40,23000.0
1990,California,West,44,male,3,Hispanic,"Married, spouse present",NIU,,486,712,52,40,8840.0
1990,Texas,South,41,male,1,White,"Married, spouse present",NIU,,567,60,49,40,11000.0
1990,California,West,33,male,3,Hispanic,"Married, spouse present",NIU,,883,182,26,40,6000.0
1990,Maine,Northeast,56,male,1,White,"Married, spouse present",Member of labor union,,503,160,52,50,42000.0
1990,Ohio,Midwest,28,male,1,White,"Married, spouse present",NIU,,567,60,52,32,15000.0
1990,Texas,South,27,male,3,Hispanic,Never mar,NIU,,567,831,52,40,20000.0
1990,Connecticut,Northeast,43,male,1,White,"Married, spouse present",No union coverage,,255,710,52,50,99999.0
1990,Michigan,Midwest,55,male,1,White,Divorced,NIU,,25,712,52,40,27000.0
1990,Michigan,Midwest,47,male,1,White,"Married, spouse present",NIU,,208,401,52,42,25638.0
1990,Indiana,Midwest,40,male,1,White,Separated,No union coverage,,64,850,40,20,4000.0
1990,Tennessee,South,26,male,1,White,"Married, spouse present",NIU,,549,500,52,40,28000.0
1990,Washington,West,33,male,1,White,"Married, spouse present",No union coverage,,453,770,1,15,88.0
1990,California,West,59,male,1,White,"Married, spouse present",No union coverage,,379,411,8,40,3000.0
1990,New York,Northeast,54,male,3,Hispanic,Separated,NIU,,16,712,52,40,10600.0
1990,Ohio,Midwest,44,male,1,White,"Married, spouse present",NIU,,448,842,52,50,17425.0
1990,New Jersey,Northeast,54,male,1,White,"Married, spouse present",No union coverage,,229,702,52,37,41000.0
1990,Illinois,Midwest,37,male,1,White,"Married, spouse present",NIU,,805,560,52,45,45000.0
1990,District of Columbia,South,36,male,2,Black,Separated,No union coverage,,448,712,50,40,8200.0
1990,South Dakota,Midwest,47,male,1,White,Widowed,NIU,,567,60,52,32,6379.0
1990,Washington,West,43,male,1,White,"Married, spouse present",NIU,,876,420,26,28,18000.0
1990,Florida,South,32,male,3,Hispanic,Divorced,No union coverage,,734,171,52,45,20000.0
1990,Pennsylvania,Northeast,45,male,1,White,"Married, spouse present",NIU,,157,842,42,40,37000.0
1990,New Hampshire,Northeast,38,male,1,White,Divorced,NIU,,19,882,52,45,91000.0
1990,Wisconsin,Midwest,43,male,1,White,"Married, spouse present",NIU,,453,842,52,45,18659.0
1990,North Carolina,South,36,male,1,White,Never mar,NIU,,764,211,52,40,18000.0
1990,Michigan,Midwest,51,male,1,White,"Married, spouse present",No union coverage,,26,351,52,40,50000.0
1990,Iowa,Midwest,38,male,1,White,"Married, spouse present",NIU,,518,172,52,50,45000.0
1990,North Carolina,South,47,male,1,White,"Married, spouse present",NIU,,749,142,48,40,17000.0
1990,Texas,South,52,male,1,White,"Married, spouse present",No union coverage,,259,512,52,55,36000.0
1990,Indiana,Midwest,51,male,1,White,"Married, spouse present",NIU,,579,842,52,40,17940.0
1990,Illinois,Midwest,29,male,3,Hispanic,"Married, spouse absent",NIU,,754,390,52,40,7000.0
1990,Maryland,South,35,male,1,White,"Married, spouse present",NIU,,48,891,52,40,35000.0
1990,New York,Northeast,29,male,1,White,"Married, spouse present",NIU,,23,151,52,50,50000.0
1990,North Carolina,South,62,male,1,White,"Married, spouse present",NIU,,243,530,52,60,80000.0
1990,Michigan,Midwest,33,male,1,White,"Married, spouse present",NIU,,585,471,52,40,24999.0
1990,Pennsylvania,Northeast,33,male,1,White,"Married, spouse present",NIU,,363,352,52,45,31000.0
1990,North Carolina,South,29,male,1,White,"Married, spouse present",NIU,,567,60,36,50,5000.0
1990,Pennsylvania,Northeast,49,male,1,White,"Married, spouse present",NIU,,766,300,52,40,30640.0
1990,Hawaii,West,25,male,4,Other,"Married, spouse present",NIU,,633,762,52,50,25200.0
1990,Mississippi,South,53,male,1,White,"Married, spouse present",NIU,,235,891,52,40,36000.0
1990,California,West,51,male,1,White,"Married, spouse present",NIU,,55,931,52,56,56000.0
1990,Alaska,West,54,male,1,White,Divorced,NIU,,613,40,52,52,42000.0
1990,Texas,South,37,male,3,Hispanic,Divorced,No union coverage,,887,100,46,40,11828.0
1990,California,West,35,male,1,White,"Married, spouse present",NIU,,633,460,52,40,44000.0
1990,North Dakota,Midwest,37,male,1,White,"Married, spouse present",NIU,,588,60,51,40,21000.0
1990,Michigan,Midwest,53,male,1,White,"Married, spouse present",NIU,,883,351,52,45,51000.0
1990,Michigan,Midwest,28,male,1,White,"Married, spouse present",NIU,,734,172,50,40,16000.0
1990,Wisconsin,Midwest,25,male,1,White,"Married, spouse present",NIU,,19,641,52,55,22900.0
1990,New Jersey,Northeast,51,male,1,White,"Married, spouse present",NIU,,259,530,52,40,70000.0
1990,New York,Northeast,27,male,1,White,"Married, spouse present",NIU,,363,421,52,35,28000.0
1990,Massachusetts,Northeast,27,male,1,White,Never mar,NIU,,507,401,52,40,35000.0
1990,West Virginia,South,39,male,1,White,"Married, spouse present",NIU,,19,291,43,40,14099.0
1990,New Jersey,Northeast,44,male,1,White,"Married, spouse present",NIU,,14,842,52,55,27000.0
1990,North Carolina,South,45,male,2,Black,"Married, spouse present",NIU,,507,351,52,40,18000.0
1990,Texas,South,26,male,3,Hispanic,Never mar,NIU,,446,910,52,40,9000.0
1990,Nevada,West,64,male,3,Hispanic,Divorced,NIU,,197,931,52,42,27000.0
1990,South Carolina,South,57,male,1,White,"Married, spouse present",NIU,,804,601,52,40,4862.0
1990,Texas,South,46,male,3,Hispanic,"Married, spouse present",NIU,,386,412,52,50,52000.0
1990,New Jersey,Northeast,35,male,1,White,"Married, spouse present",NIU,,363,342,52,35,50000.0
1990,Kentucky,South,34,male,2,Black,Never mar,NIU,,889,391,52,40,11087.0
1990,Ohio,Midwest,37,male,1,White,"Married, spouse present",NIU,,19,641,52,40,17000.0
1990,Illinois,Midwest,26,male,1,White,Never mar,NIU,,19,762,52,50,32000.0
1990,Louisiana,South,47,male,1,White,"Married, spouse present",NIU,,243,760,52,40,25000.0
1990,Texas,South,34,male,1,White,"Married, spouse present",NIU,,235,850,30,40,7300.0
1990,California,West,35,male,4,Other,"Married, spouse present",No union coverage,,243,562,52,40,20000.0
1990,California,West,47,male,1,White,Never mar,NIU,,313,841,52,33,19950.0
1990,Missouri,Midwest,53,male,1,White,"Married, spouse present",Covered by union but not a member,,157,842,52,20,5200.0
1990,Florida,South,52,male,1,White,"Married, spouse present",NIU,,19,421,52,60,62000.0
1990,Indiana,Midwest,52,male,1,White,"Married, spouse present",Member of labor union,,23,351,52,40,43000.0
1990,Illinois,Midwest,31,male,1,White,"Married, spouse present",NIU,,505,751,4,40,350.0
1990,New Jersey,Northeast,29,male,1,White,Never mar,NIU,,435,762,52,40,21500.0
1990,Nevada,West,33,male,1,White,Divorced,NIU,,453,471,52,40,7800.0
1990,North Carolina,South,54,male,2,Black,"Married, spouse present",NIU,,579,842,52,40,18000.0
1990,Kentucky,South,26,male,1,White,"Married, spouse present",NIU,,558,60,52,45,26000.0
1990,Massachusetts,Northeast,46,male,1,White,Divorced,NIU,,507,932,52,40,30000.0
1990,Alaska,West,33,male,1,White,"Married, spouse present",NIU,,585,470,52,40,54000.0
1990,District of Columbia,South,31,male,1,White,Never mar,No union coverage,,308,900,52,35,26499.0
1990,Pennsylvania,Northeast,39,male,1,White,Divorced,NIU,,19,641,52,40,24900.0
1990,North Dakota,Midwest,40,male,1,White,"Married, spouse present",No union coverage,,834,470,52,40,40000.0
1990,Texas,South,38,male,1,White,"Married, spouse present",No union coverage,,53,882,52,47,46734.0
1990,North Dakota,Midwest,28,male,1,White,"Married, spouse present",NIU,,79,931,52,45,19000.0
1990,Maryland,South,32,male,1,White,Never mar,NIU,,804,410,48,40,29000.0
1990,Mississippi,South,25,male,1,White,"Married, spouse present",NIU,,883,591,52,40,12000.0
1990,Massachusetts,Northeast,27,male,1,White,"Married, spouse present",NIU,,735,172,52,38,31000.0
1990,North Dakota,Midwest,52,male,1,White,"Married, spouse present",No union coverage,,804,410,52,55,26000.0
1990,Illinois,Midwest,31,male,3,Hispanic,"Married, spouse present",NIU,,777,182,52,40,22000.0
1990,Ohio,Midwest,56,male,1,White,"Married, spouse present",NIU,,503,192,52,40,45000.0
1990,California,West,57,male,1,White,Separated,NIU,,637,182,52,50,52500.0
1990,North Carolina,South,40,male,1,White,"Married, spouse present",NIU,,257,60,52,40,40000.0
1990,Michigan,Midwest,44,male,1,White,Divorced,NIU,,19,212,52,40,49000.0
1990,Minnesota,Midwest,41,male,1,White,"Married, spouse present",NIU,,19,641,50,60,99999.0
1990,Wyoming,West,48,male,1,White,"Married, spouse present",NIU,,243,421,52,45,54000.0
1990,Tennessee,South,34,male,1,White,"Married, spouse present",No union coverage,,706,282,52,50,24000.0
1990,Michigan,Midwest,36,male,1,White,Divorced,NIU,,437,641,52,45,12000.0
1990,New Mexico,West,29,male,1,White,Divorced,NIU,,268,580,8,40,600.0
1990,New York,Northeast,38,male,1,White,"Married, spouse present",NIU,,547,341,52,45,30000.0
